,dataset,model,kappa,metric,param.,value,ABC,CI
157,WSI,cnn,SR,FN,N,0.75,0.00785474139989634,"[np.float64(0.0021983973254252106), np.float64(0.01351108547436747)]"
158,WSI,cnn,SR,FPR,N,0.75,0.021157728192211647,"[np.float64(0.00598679548595042), np.float64(0.03632866089847287)]"
159,WSI,cnn,SR,FNR,N,0.75,0.035550104069955776,"[np.float64(0.01681117752842225), np.float64(0.054289030611489306)]"
160,WSI,cnn,SR,standard,N,0.5,0.015112694112525143,"[np.float64(0.0029411000549146443), np.float64(0.027284288170135642)]"
161,WSI,cnn,SR,FP,N,0.5,0.01434207432829467,"[np.float64(0.0019498386553502816), np.float64(0.02673431000123906)]"
162,WSI,cnn,SR,FN,N,0.5,0.010202785178378485,"[np.float64(0.004062334604037927), np.float64(0.01634323575271904)]"
163,WSI,cnn,SR,FPR,N,0.5,0.03219252647826633,"[np.float64(0.007102950852811957), np.float64(0.0572821021037207)]"
164,WSI,cnn,SR,FNR,N,0.5,0.04717353381607221,"[np.float64(0.015505503697496564), np.float64(0.07884156393464786)]"
165,WSI,cnn,SR,standard,N,0.25,0.02308215680495245,"[np.float64(0.00296036984896152), np.float64(0.043203943760943386)]"
166,WSI,cnn,SR,FP,N,0.25,0.019539063112890068,"[np.float64(0.0006152918039412716), np.float64(0.038462834421838864)]"
167,WSI,cnn,SR,FN,N,0.25,0.016697006339130273,"[np.float64(0.005933248385272993), np.float64(0.027460764292987553)]"
168,WSI,cnn,SR,FPR,N,0.25,0.04782423731369712,"[np.float64(0.01656659378569479), np.float64(0.07908188084169945)]"
169,WSI,cnn,SR,FNR,N,0.25,0.07625327624192271,"[np.float64(0.036934147924697715), np.float64(0.11557240455914772)]"
170,WSI,cnn,SR,standard,imbalance,0.75,0.017631621997707337,"[np.float64(0.005766790091113055), np.float64(0.02949645390430162)]"
171,WSI,cnn,SR,FP,imbalance,0.75,0.013876961909244371,"[np.float64(0.0054354594121163585), np.float64(0.022318464406372383)]"
172,WSI,cnn,SR,FN,imbalance,0.75,0.012750203432756008,"[np.float64(0.004133560406280457), np.float64(0.021366846459231557)]"
173,WSI,cnn,SR,FPR,imbalance,0.75,0.09550006501635344,"[np.float64(0.05485406234745638), np.float64(0.1361460676852505)]"
174,WSI,cnn,SR,FNR,imbalance,0.75,0.02303552573866447,"[np.float64(0.010900710201767309), np.float64(0.03517034127556164)]"
175,WSI,cnn,SR,standard,imbalance,0.5,0.01576165034216517,"[np.float64(0.007510695968866712), np.float64(0.024012604715463626)]"
176,WSI,cnn,SR,FP,imbalance,0.5,0.013510797268664299,"[np.float64(0.004483615307945022), np.float64(0.022537979229383574)]"
177,WSI,cnn,SR,FN,imbalance,0.5,0.009190757222953705,"[np.float64(0.0034455870310159996), np.float64(0.014935927414891411)]"
